frame.number,frame.time,ip.src,ip.dst,udp.payload,_ws.col.Info
"1","Mar 19, 2012 15:12:49.950823000 UTC","192.168.0.101","192.168.0.10","010000000002000d0100007530","Session Initiate Request, Sequence Number 2"
"2","Mar 19, 2012 15:12:49.956063000 UTC","192.168.0.10","192.168.0.101","010100000002000d010000ea60","Session Initiate Response, Sequence Number 2"
"3","Mar 19, 2012 15:12:49.999159000 UTC","192.168.0.101","192.168.0.10","010003000003001182264e0000d2000038","Pass Through Request, Sequence Number 3"
"4","Mar 19, 2012 15:12:50.002854000 UTC","192.168.0.10","192.168.0.101","010103000003002986264e0000d2001800d0fe264e050704010e0c0000d205020002d00026002684e4","Pass Through Response, Sequence Number 3"
"5","Mar 19, 2012 15:12:50.051114000 UTC","192.168.0.101","192.168.0.10","010003000004001182264e0000d2010039","Pass Through Request, Sequence Number 4"
"6","Mar 19, 2012 15:12:50.055374000 UTC","192.168.0.10","192.168.0.101","010103000004001886264e0000d2010700d0fb0000000011","Pass Through Response, Sequence Number 4"
"7","Mar 19, 2012 15:12:50.103176000 UTC","192.168.0.101","192.168.0.10","010003000005001182264e0000d202003a","Pass Through Request, Sequence Number 5"
"8","Mar 19, 2012 15:12:50.106994000 UTC","192.168.0.10","192.168.0.101","010103000005001b86264e0000d2020a00d07fa00000000000003b","Pass Through Response, Sequence Number 5"
"9","Mar 19, 2012 15:12:50.154972000 UTC","192.168.0.101","192.168.0.10","010003000006001182264e0000d203003b","Pass Through Request, Sequence Number 6"
"10","Mar 19, 2012 15:12:50.158898000 UTC","192.168.0.10","192.168.0.101","010103000006002b86264e0000d2031a00d07fa00000fb00000000fb000000002042020000204200000028","Pass Through Response, Sequence Number 6"
"11","Mar 19, 2012 15:12:50.207344000 UTC","192.168.0.101","192.168.0.10","010003000007001582264e0000d209040001020335","Pass Through Request, Sequence Number 7"
"12","Mar 19, 2012 15:12:50.211413000 UTC","192.168.0.10","192.168.0.101","010103000007003886264e0000d2092700d0020000fb00000000100100fb00000000c002402042020000c003402042000000c068ff6500e0","Pass Through Response, Sequence Number 7"
"13","Mar 19, 2012 15:12:50.259258000 UTC","192.168.0.101","192.168.0.10","010003000008001182264e0000d20c0034","Pass Through Request, Sequence Number 8"
"14","Mar 19, 2012 15:12:50.262788000 UTC","192.168.0.10","192.168.0.101","010103000008002b86264e0000d20c1a00d000108310518720928b30d38fbe086d8e49669e8a6aaecb6ef5","Pass Through Response, Sequence Number 8"
"15","Mar 19, 2012 15:12:50.311175000 UTC","192.168.0.101","192.168.0.10","010003000009001182264e0000d20d0035","Pass Through Request, Sequence Number 9"
"16","Mar 19, 2012 15:12:50.315008000 UTC","192.168.0.10","192.168.0.101","010103000009002886264e0000d20d1700d0000000000000000000000000000000000000000000f6","Pass Through Response, Sequence Number 9"
"17","Mar 19, 2012 15:12:50.363234000 UTC","192.168.0.101","192.168.0.10","01000300000a001182264e0000d214002c","Pass Through Request, Sequence Number 10"
"18","Mar 19, 2012 15:12:50.366783000 UTC","192.168.0.10","192.168.0.101","01010300000a003386264e0000d2142200d07769686172746777000000000000000000000000000000000000000000000000db","Pass Through Response, Sequence Number 10"
"19","Mar 19, 2012 15:12:50.415116000 UTC","192.168.0.101","192.168.0.10","01000300000b001182264e0000d2300008","Pass Through Request, Sequence Number 11"
"20","Mar 19, 2012 15:12:50.418656000 UTC","192.168.0.10","192.168.0.101","01010300000b002086264e0000d2300f00d010040700000002000000000000c2","Pass Through Response, Sequence Number 11"
"23","Mar 19, 2012 15:13:20.422496000 UTC","192.168.0.101","192.168.0.10","01000200000c0008","Keep Alive Request, Sequence Number 12"
"24","Mar 19, 2012 15:13:20.423758000 UTC","192.168.0.10","192.168.0.101","01010200000c0008","Keep Alive Response, Sequence Number 12"
"25","Mar 19, 2012 15:13:24.664457000 UTC","192.168.0.101","192.168.0.10","01000100000d0008","Session Close Request, Sequence Number 13"
"26","Mar 19, 2012 15:13:24.665691000 UTC","192.168.0.10","192.168.0.101","01010100000d0008","Session Close Response, Sequence Number 13"
"27","Mar 19, 2012 15:13:24.665787000 UTC","192.168.0.101,192.168.0.10","192.168.0.10,192.168.0.101","01010100000d0008","Destination unreachable (Port unreachable)"
