2024-05-28 04:33:35,453 - INFO - Server listening on 192.168.100.3:47808
2024-05-28 04:34:44,399 - INFO - Request received from ('192.168.100.3', 55232): 810a0017010030010c0c02000539194b3ec4020005393f
2024-05-28 04:34:44,399 - INFO - Response sent to ('192.168.100.3', 55232): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-05-28 04:39:53,335 - INFO - Server listening on 192.168.100.3:47808
2024-05-28 04:39:57,516 - INFO - Request received from ('192.168.100.3', 50927): 810a0017010030010c0c02000539194b3ec4020005393f
2024-05-28 04:39:57,516 - INFO - Response sent to ('192.168.100.3', 50927): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-06-03 15:24:49,722 - INFO - Server listening on 192.168.100.3:47808
2024-06-03 15:25:18,398 - INFO - Request received from ('192.168.100.3', 35384): 810a0017010030010c0c02000539194b3ec4020005393f
2024-06-03 15:25:18,398 - INFO - Response sent to ('192.168.100.3', 35384): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:32:08,467 - INFO - Server listening on 192.168.100.6:47808
2024-08-26 12:32:25,732 - INFO - Server listening on 192.168.100.6:47808
2024-08-26 12:32:55,071 - INFO - Server listening on 192.168.100.6:47808
2024-08-26 12:34:26,258 - INFO - Request received from ('10.10.10.44', 53746): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:34:26,259 - INFO - Response sent to ('10.10.10.44', 53746): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,228 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,228 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,230 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,230 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,233 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,233 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,235 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,235 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,237 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,237 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,239 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,239 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,241 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,242 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,244 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,244 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,246 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,246 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,248 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,248 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,251 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,251 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,254 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,254 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,257 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,257 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,259 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,260 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,263 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,263 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,265 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,265 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,266 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,266 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,268 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,268 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,270 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,270 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,273 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,273 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,276 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,276 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,279 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,279 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,282 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,282 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,283 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,283 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,286 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,286 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,290 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,290 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,292 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,292 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,294 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,294 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,297 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,297 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,301 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,301 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,305 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,305 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,308 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,308 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,310 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
2024-08-26 12:52:48,310 - INFO - Response sent to ('10.10.10.44', 63170): 810a001a010030000e0c044000581e29264e4f29554e210c4f1f
2024-08-26 12:52:48,312 - INFO - Request received from ('10.10.10.44', 63170): 810a0017010030010c0c02000539194b3ec4020005393f
